Country,Year,Population
ABW,1970,0.059065
ABW,1971,0.059438
ABW,1972,0.059849
ABW,1973,0.060239
ABW,1974,0.060525
ABW,1975,0.060655
ABW,1976,0.060589
ABW,1977,0.060366
ABW,1978,0.060106
ABW,1979,0.059978
ABW,1980,0.060096
ABW,1981,0.060567
ABW,1982,0.061344
ABW,1983,0.062204
ABW,1984,0.062831
ABW,1985,0.063028
ABW,1986,0.062644
ABW,1987,0.061835
ABW,1988,0.061077
ABW,1989,0.061032
ABW,1990,0.062148
ABW,1991,0.064623
ABW,1992,0.068235
ABW,1993,0.072498
ABW,1994,0.0767
ABW,1995,0.080326
ABW,1996,0.083195
ABW,1997,0.085447
ABW,1998,0.087276
ABW,1999,0.089004
ABW,2000,0.090858
ABW,2001,0.092894
ABW,2002,0.094995
ABW,2003,0.097015
ABW,2004,0.098742
ABW,2005,0.100031
ABW,2006,0.10083
ABW,2007,0.101218
ABW,2008,0.101342
ABW,2009,0.101416
ABW,2010,0.101597
ABW,2011,0.101936
ABW,2012,0.102393
ABW,2013,0.102921
ABW,2014,0.103441
AGO,1970,6.300969
AGO,1971,6.437645
AGO,1972,6.587647
AGO,1973,6.750215
AGO,1974,6.923749
AGO,1975,7.107334
AGO,1976,7.299508
AGO,1977,7.50132
AGO,1978,7.717139
AGO,1979,7.952882
AGO,1980,8.21195
AGO,1981,8.49795
AGO,1982,8.807511
AGO,1983,9.128655
AGO,1984,9.444918
AGO,1985,9.745209
AGO,1986,10.0237
AGO,1987,10.285712
AGO,1988,10.544904
AGO,1989,10.820992
AGO,1990,11.12787
AGO,1991,11.472173
AGO,1992,11.848971
AGO,1993,12.246786
AGO,1994,12.648483
AGO,1995,13.042666
AGO,1996,13.424813
AGO,1997,13.801868
AGO,1998,14.18771
AGO,1999,14.601983
AGO,2000,15.058638
AGO,2001,15.562791
AGO,2002,16.109696
AGO,2003,16.691395
AGO,2004,17.2955
AGO,2005,17.912942
AGO,2006,18.541467
AGO,2007,19.183907
AGO,2008,19.842251
AGO,2009,20.520103
AGO,2010,21.219954
AGO,2011,21.942296
AGO,2012,22.685632
AGO,2013,23.448202
AGO,2014,24.227524
AIA,1970,0.0064
AIA,1971,0.006454
AIA,1972,0.006506
AIA,1973,0.006554
AIA,1974,0.006596
AIA,1975,0.00663
